epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.078,1.44987,2.17681,1.25189,0.2372,0.68889,0.22418,0.1154,1.40323,2.68021,1.12972,0.000659259,0.000659259,0.000659259
2,521.504,1.37209,1.48722,1.17298,0.82666,0.92732,0.83695,0.48462,1.30809,1.79664,1.12965,0.00129967,0.00129967,0.00129967
3,760.238,1.37954,1.35224,1.17396,0.92551,0.89735,0.95121,0.46749,1.49947,1.56624,1.23125,0.00191369,0.00191369,0.00191369
4,998.449,1.41827,1.22632,1.21379,0.88645,0.82408,0.9134,0.53741,1.30626,1.47142,1.13098,0.0018812,0.0018812,0.0018812
5,1224.56,1.3453,1.10348,1.17986,0.93854,0.91667,0.97237,0.63364,1.19171,0.98077,1.0748,0.0018416,0.0018416,0.0018416
6,1444.66,1.34089,1.02604,1.14929,0.97139,0.95556,0.98622,0.622,1.18444,0.93271,1.05241,0.001802,0.001802,0.001802
7,1666.4,1.30382,0.98872,1.1498,0.95877,0.90444,0.97373,0.57196,1.29714,1.1091,1.09322,0.0017624,0.0017624,0.0017624
8,1887.69,1.28173,0.94189,1.13248,0.9818,0.89896,0.97519,0.61631,1.21785,0.88082,1.07029,0.0017228,0.0017228,0.0017228
9,2111.18,1.32631,0.91809,1.13912,0.92811,0.93333,0.97508,0.61456,1.25362,0.85944,1.08485,0.0016832,0.0016832,0.0016832
10,2330.94,1.28974,0.92995,1.14989,0.95828,0.91667,0.97908,0.61965,1.22251,0.78959,1.07371,0.0016436,0.0016436,0.0016436
11,2551.3,1.27503,0.86366,1.13095,0.94972,0.94434,0.98357,0.6782,1.09366,0.78498,1.04125,0.001604,0.001604,0.001604
12,2772.44,1.21978,0.83273,1.10733,0.9461,0.9752,0.98677,0.60271,1.34005,0.72138,1.10743,0.0015644,0.0015644,0.0015644
13,3000.94,1.26247,0.81088,1.11896,0.93878,0.97778,0.99011,0.65012,1.20747,0.71183,1.04955,0.0015248,0.0015248,0.0015248
14,3257.35,1.22288,0.80591,1.09214,0.95618,0.96988,0.97435,0.65095,1.16513,0.81304,1.04046,0.0014852,0.0014852,0.0014852
15,3511.89,1.16605,0.76853,1.06323,0.98309,0.96904,0.99098,0.68429,1.0913,0.64984,0.99882,0.0014456,0.0014456,0.0014456
16,3776.14,1.17787,0.75262,1.07703,0.98874,0.97537,0.99297,0.69813,1.07982,0.63646,0.98995,0.001406,0.001406,0.001406
17,4027.73,1.19289,0.75111,1.07426,0.97798,0.98706,0.98935,0.66951,1.08865,0.67706,1.01694,0.0013664,0.0013664,0.0013664
18,4253.4,1.17634,0.727,1.06743,0.97774,0.97626,0.99301,0.64281,1.2328,0.62604,1.04529,0.0013268,0.0013268,0.0013268
19,4485.23,1.18283,0.72055,1.07456,0.98124,0.97778,0.99255,0.69614,1.10101,0.60385,1.00722,0.0012872,0.0012872,0.0012872
20,4722.71,1.20584,0.74237,1.08797,0.9657,0.93333,0.98764,0.66593,1.15182,0.66586,1.03979,0.0012476,0.0012476,0.0012476
21,4958.84,1.1858,0.73001,1.07741,0.97146,0.98889,0.99263,0.67578,1.16398,0.61867,1.02803,0.001208,0.001208,0.001208
22,5191.56,1.13809,0.69153,1.05069,0.94254,0.98889,0.99147,0.68711,1.1114,0.63217,1.01005,0.0011684,0.0011684,0.0011684
23,5426.11,1.14111,0.71046,1.05495,0.98306,0.96694,0.9859,0.66892,1.20913,0.60797,1.02341,0.0011288,0.0011288,0.0011288
24,5665.52,1.13749,0.68003,1.05722,0.99428,0.96623,0.99243,0.71366,1.05537,0.53087,0.97567,0.0010892,0.0010892,0.0010892
25,5898.85,1.14469,0.69568,1.06114,0.9944,0.98674,0.99432,0.66572,1.1236,0.60712,1.00104,0.0010496,0.0010496,0.0010496
26,6132.16,1.13108,0.67355,1.05127,0.99223,0.97778,0.99364,0.70499,1.03686,0.54833,0.96139,0.00101,0.00101,0.00101
27,6369.87,1.1408,0.67104,1.05755,0.98609,0.97778,0.99307,0.70221,1.07298,0.55214,0.98174,0.0009704,0.0009704,0.0009704
28,6606.66,1.13608,0.66261,1.05533,0.99635,0.97778,0.99451,0.67638,1.13634,0.55814,0.98346,0.0009308,0.0009308,0.0009308
29,6839.81,1.12456,0.64325,1.04607,0.98374,0.98889,0.99411,0.70577,1.04381,0.54889,0.95851,0.0008912,0.0008912,0.0008912
30,7074.95,1.10967,0.63897,1.04268,0.97766,0.97255,0.99247,0.70804,1.02854,0.53188,0.96117,0.0008516,0.0008516,0.0008516
31,7312.68,1.13157,0.64243,1.05121,0.97603,0.98333,0.99341,0.66367,1.20125,0.55828,0.99622,0.000812,0.000812,0.000812
32,7558.38,1.1242,0.62102,1.04566,1,0.97775,0.99183,0.69516,1.12759,0.57851,0.99086,0.0007724,0.0007724,0.0007724
33,7794.79,1.07061,0.62575,1.02566,0.98886,0.98673,0.99347,0.71635,1.01904,0.50396,0.95744,0.0007328,0.0007328,0.0007328
34,8031.37,1.07666,0.61183,1.03167,0.97746,0.97778,0.99359,0.72224,0.98831,0.50138,0.95935,0.0006932,0.0006932,0.0006932
35,8269.58,1.09444,0.60689,1.03793,0.99914,0.98333,0.99433,0.71268,1.03331,0.49175,0.95894,0.0006536,0.0006536,0.0006536
36,8505.26,1.06748,0.60059,1.02944,0.99652,0.97222,0.99404,0.738,0.96052,0.47908,0.9599,0.000614,0.000614,0.000614
37,8739.24,1.06753,0.59445,1.02835,0.98415,0.97778,0.99255,0.74652,0.95264,0.49321,0.94511,0.0005744,0.0005744,0.0005744
38,8976,1.06184,0.59304,1.01458,0.99441,0.98836,0.99418,0.72847,1.03728,0.48847,0.95525,0.0005348,0.0005348,0.0005348
39,9211.92,1.06695,0.58742,1.0257,0.9927,0.98333,0.99445,0.70576,1.07643,0.49322,0.9772,0.0004952,0.0004952,0.0004952
40,9447.11,1.0446,0.58516,1.03272,0.98535,0.98333,0.99428,0.74363,0.97167,0.47638,0.95892,0.0004556,0.0004556,0.0004556
41,9675.51,0.96793,0.49231,0.97077,0.99438,0.98243,0.99377,0.74078,1.01092,0.48211,0.94939,0.000416,0.000416,0.000416
42,9902.78,0.95349,0.48185,0.97023,0.99441,0.98742,0.99452,0.72926,1.01044,0.47678,0.95163,0.0003764,0.0003764,0.0003764
43,10129.2,0.90869,0.45709,0.96005,0.98752,0.98333,0.99422,0.72714,1.01498,0.47854,0.95111,0.0003368,0.0003368,0.0003368
44,10367.6,0.91364,0.46143,0.96363,0.99353,0.98889,0.99489,0.73039,1.04247,0.46919,0.96012,0.0002972,0.0002972,0.0002972
45,10657.6,0.90826,0.45778,0.95774,0.98891,0.9912,0.99478,0.73683,0.9629,0.45482,0.93939,0.0002576,0.0002576,0.0002576
46,18554.9,0.9066,0.45099,0.95486,0.99277,0.98889,0.99483,0.7379,1.01318,0.46171,0.95688,0.000218,0.000218,0.000218
47,18798.9,0.90163,0.43652,0.95676,0.99846,0.98889,0.99494,0.75123,0.97177,0.44264,0.94508,0.0001784,0.0001784,0.0001784
48,19055.9,0.92192,0.43543,0.94871,1,0.98878,0.99489,0.72882,1.01071,0.45348,0.95092,0.0001388,0.0001388,0.0001388
49,19301.3,0.87056,0.43219,0.93788,1,0.99248,0.995,0.74153,0.98575,0.44404,0.94381,9.92e-05,9.92e-05,9.92e-05
50,19568.3,0.87999,0.42859,0.93492,0.99937,0.98889,0.99494,0.72796,1.02336,0.45227,0.94823,5.96e-05,5.96e-05,5.96e-05
